Track,Race,Winner,2nd,3rd,4th
Taree,1,2,3,4,5
Taree,2,6,7,1,8
Taree,3,1,6,4,2
Taree,4,3,4,1,2
Taree,5,6,1,3,8
Taree,6,6,7,2,4
Taree,7,6,7,4,3
Taree,8,8,2,1,7
Taree,9,2,8,1,3
Taree,10,8,6,2,3
Taree,11,4,1,7,6
Dubbo,1,7,6,3,8
Dubbo,2,7,1,3,2
Dubbo,3,3,4,5,8
Dubbo,4,1,5,3,2
Dubbo,5,1,4,2,3
Dubbo,6,8,5,1,4
Dubbo,7,5,8,1,4
Dubbo,8,1,8,2,7
Dubbo,9,8,1,3,6
Dubbo,10,8,2,6,3
Dubbo,11,4,3,1,7
Wentworth Park,1,2,4,6,3
Wentworth Park,2,1,7,4,5
Wentworth Park,3,8,2,6,1
Wentworth Park,4,1,2,5,4
Wentworth Park,5,1,2,7,8
Wentworth Park,6,4,2,6,1
Wentworth Park,7,4,5,2,3
Wentworth Park,8,1,6,5,4
Wentworth Park,9,3,5,2,7
Wentworth Park,10,6,2,1,9
Gardens,1,5,6,7,1
Gardens,2,6,5,2,1
Gardens,3,2,8,4,5
Gardens,4,5,8,7,2
Gardens,5,5,8,2,3
Gardens,6,2,7,8,5
Gardens,7,5,8,7,4
Gardens,8,5,4,8,2
Gardens,9,1,9,10,5
Gardens,10,4,7,8,2
Gardens,11,6,5,2,1
Gardens,12,4,6,5,1
Ballarat,1,2,1,7,5
Ballarat,2,4,8,3,5
Ballarat,3,4,5,8,3
Ballarat,4,4,8,2,3
Ballarat,5,6,4,8,7
Ballarat,6,1,4,5,8
Ballarat,7,7,1,6,3
Ballarat,8,7,6,4,8
Ballarat,9,4,7,3,6
Ballarat,10,8,7,3,6
Ballarat,11,4,8,3,10
Ballarat,12,8,6,7,2
Lakeside,1,4,1,7,5
Lakeside,2,5,8,2,4
Lakeside,3,8,6,2,1
Lakeside,4,1,8,2,7
Lakeside,5,4,2,9,5
Lakeside,6,6,3,1,8
Lakeside,7,1,6,3,4
Lakeside,8,3,7,8,6
Lakeside,9,5,8,4,2
Lakeside,10,8,4,2,5
Sandown,1,1,7,2,3
Sandown,2,3,2,6,8
Sandown,3,1,2,4,7
Sandown,4,1,2,10,4
Sandown,5,1,8,2,6
Sandown,6,4,5,6,3
Sandown,7,2,7,3,1
Sandown,8,8,4,3,2
Sandown,9,7,1,2,4
Sandown,10,2,5,1,6
Sandown,11,3,4,8,2
Sandown,12,8,3,2,1
Cannington,1,6,2,1,4
Cannington,2,6,1,8,4
Cannington,3,2,10,3,5
Cannington,4,2,1,4,5
Cannington,5,4,5,3,1
Cannington,6,1,5,3,4
Cannington,7,1,4,7,8
Cannington,8,1,2,3,7
Cannington,9,2,1,8,3
Cannington,10,3,6,5,2
Cannington,11,8,4,2,1
Cannington,12,1,3,6,4
