Variable,Weight_Percentage,Separation_Score
RestFactor,50.50486109293797,1.4090427459286021
FinishConsistency,8.314472852338929,0.23196673360312672
DrawFactor,6.071809914139743,0.16939834164541973
EarlySpeedIndex,5.49677863657095,0.15335545720209118
BoxPositionBias,4.948285000393143,0.13805295042314653
DLW,4.444867660552489,0.12400803404228883
DLWFactor,2.463453048468316,0.06872824858368619
PlaceRate,2.3437032643306632,0.06538733127366374
CareerWins,2.1556173995555192,0.060139895331102915
RecentFormBoost,2.0713785793685395,0.05778970376653995
CareerStarts,2.038651009392371,0.05687663234987112
Speed_kmh,1.8219319974161055,0.05083035590990543
DistanceSuit,1.4515621418940856,0.0404973513843886
CareerPlaces,1.0878850734059242,0.03035106993494855
ConsistencyIndex,0.9915688896993733,0.027663930181856172
BoxBiasFactor,0.988678577986778,0.02758329293894582
PrizeMoney,0.885471416769724,0.024703900763741755
DLR,0.6833654254826577,0.0190653151945683
OverexposedPenalty,0.5141070527007751,0.014343150294102134
TrainerStrikeRate,0.3630305949369303,0.010128245386215949
RTCFactor,0.35852037165901735,0.01000241398593614
FormMomentum,0.0,0.0
MarginAvg,0.0,0.0
MarginFactor,0.0,0.0
WeightFactor,0.0,0.0
FormMomentumNorm,0.0,0.0
