Variable,Winner_Mean,Winner_Median,Winner_Std,NonWinner_Mean,NonWinner_Median,NonWinner_Std,Mean_Difference,Median_Difference,Cohens_D,Relative_Diff_Pct,Winner_Count,NonWinner_Count
RestFactor,0.7999999999999999,0.8,1.1142972512512645e-16,0.8,0.8,0.0,1.1102230246251565e-16,0.0,1.4090427459286021,1.3877787807814457e-14,137,906
FinishConsistency,0.10449962151835533,0.08055363982396377,0.13160965905177813,0.06881011657757313,0.0,0.17326949479698364,0.0356895049407822,0.08055363982396377,0.23196673360312672,51.866653794355386,137,906
DrawFactor,0.8492700729927007,0.85,0.13839752546079395,0.8253863134657835,0.85,0.14353899037273177,0.023883759526917236,0.0,0.16939834164541973,2.8936461796452284,137,906
EarlySpeedIndex,69.88349138761637,66.66666666666667,26.23387770384159,65.93385902667039,59.91285403050109,25.266550220516525,3.9496323609459836,6.753812636165584,0.15335545720209118,5.990294545551094,131,581
BoxPositionBias,0.005956204379562045,0.004,0.036667197356191845,0.0009900662251655639,0.0,0.03526453950521609,0.004966138154396481,0.004,0.13805295042314653,501.59656275175115,137,906
DLW,87.47008547008546,44.0,107.80838466604988,102.29797979797979,54.0,130.27778197497136,14.827894327894327,10.0,0.12400803404228883,14.494806600459526,117,792
DLWFactor,0.462043795620438,0.2,0.32156130758912604,0.4405077262693158,0.2,0.30491981818233677,0.021536069351122233,0.0,0.06872824858368619,4.888919777528624,137,906
PlaceRate,0.2751809102834127,0.2857142857142857,0.15082533161349196,0.2847406106342962,0.2941176470588235,0.14142576825394665,0.009559700350883493,0.008403361344537785,0.06538733127366374,3.357336464787385,137,906
CareerWins,5.131386861313868,4.0,4.868593102505824,4.843267108167771,4.0,4.711774827110488,0.2881197531460975,0.0,0.060139895331102915,5.948871840254428,137,906
RecentFormBoost,0.5145985401459854,0.5,0.3372771913743688,0.4955849889624724,0.5,0.32053536010600636,0.019013551183513,0.0,0.05778970376653995,3.8365873880317993,137,906
CareerStarts,34.824817518248175,28.0,26.1364906647378,33.35540838852097,25.0,25.529996624032083,1.4694091297272038,3.0,0.05687663234987112,4.40530996536349,137,906
Speed_kmh,63.40531052800657,63.0170860419188,2.518027389427302,63.27703643289137,63.03698281455356,2.5291057188632893,0.12827409511519505,0.019896772634758975,0.05083035590990543,0.20271824084434875,130,534
DistanceSuit,0.7087591240875915,0.7,0.05069292292343433,0.7109271523178807,0.7,0.05623373863957926,0.002168028230289276,0.0,0.0404973513843886,0.30495786005932063,137,906
CareerPlaces,10.218978102189782,8.0,8.617454353594319,9.95916114790287,8.0,8.502939950619252,0.25981695428691154,0.0,0.03035106993494855,2.6088236793077897,137,906
ConsistencyIndex,0.1513118626993345,0.1351351351351351,0.11983447356129202,0.1547749661065021,0.13299319727891157,0.13031563357762516,0.0034631034071676003,0.002141937856223519,0.027663930181856172,2.2375087485301766,137,906
BoxBiasFactor,0.015445508167706543,0.0,0.24489434127288567,0.009305481126673181,0.0,0.1978075598830028,0.006140027041033362,0.0,0.02758329293894582,65.98290789536524,137,906
PrizeMoney,14485.321167883212,10500.0,15514.620239487156,14077.984547461368,8955.0,17408.468735557646,407.3366204218437,1545.0,0.024703900763741755,2.893429944098761,137,906
DLR,12.437956204379562,7.0,21.590391828811196,12.026490066225165,7.0,21.573448081887374,0.41146613815439714,0.0,0.0190653151945683,3.421331875623016,137,906
OverexposedPenalty,-0.005839416058394161,0.0,0.02353477826306844,-0.006181015452538632,0.0,0.02409434296563443,0.0003415993941444711,0.0,0.014343150294102134,5.52659019812305,137,906
TrainerStrikeRate,0.15725264016979143,0.1373626373626374,0.10362472372190108,0.15828285228101766,0.1463670411985019,0.09977227757401001,0.0010302121112262252,0.00900440383586451,0.010128245386215949,0.6508677954559297,137,906
RTCFactor,0.09912408759124088,0.0,0.21004017281209192,0.10125827814569538,0.0,0.2166438265525475,0.0021341905544545042,0.0,0.01000241398593614,2.1076702009328327,137,906
FormMomentum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,906
MarginAvg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,906
MarginFactor,0.5999999999999999,0.6,1.1142972512512645e-16,0.5999999999999999,0.6,1.1108362381624537e-16,0.0,0.0,0.0,0.0,137,906
WeightFactor,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,137,906
FormMomentumNorm,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,137,906
