Track,Race,Result
Grafton25/11/25,R1,1875
Grafton25/11/25,R2,2584
Grafton25/11/25,R3,7413
Grafton25/11/25,R4,7486
Grafton25/11/25,R5,1467
Grafton25/11/25,R6,1437
Grafton25/11/25,R7,6827
Grafton25/11/25,R8,6943
Grafton25/11/25,R9,3178
Grafton25/11/25,R10,3581
Bulli25/11/25,R1,1845
Bulli25/11/25,R2,71083
Bulli25/11/25,R3,5728
Bulli25/11/25,R4,2156
Bulli25/11/25,R5,7614
Bulli25/11/25,R6,8214
Bulli25/11/25,R7,1724
Bulli25/11/25,R8,8347
Bulli25/11/25,R9,1683
Bulli25/11/25,R10,4718
Bulli25/11/25,R11,4278
Bulli25/11/25,R12,2376
Gosford25/11/25,R1,5764
Gosford25/11/25,R2,6429
Gosford25/11/25,R3,2314
Gosford25/11/25,R4,4632
Gosford25/11/25,R5,2634
Gosford25/11/25,R6,5178
Gosford25/11/25,R7,9726
Gosford25/11/25,R8,4583
Gosford25/11/25,R9,7486
Gosford25/11/25,R10,3156
Gosford25/11/25,R11,8214
Murray Bridge Straight25/11/25,R1,5284
Murray Bridge Straight25/11/25,R2,6128
Murray Bridge Straight25/11/25,R3,8641
Murray Bridge Straight25/11/25,R4,1628
Murray Bridge Straight25/11/25,R5,2784
Murray Bridge Straight25/11/25,R6,2875
Murray Bridge Straight25/11/25,R7,7185
Murray Bridge Straight25/11/25,R8,4852
Murray Bridge Straight25/11/25,R9,1864
Murray Bridge Straight25/11/25,R10,8624
Launceston25/11/25,R1,2147
Launceston25/11/25,R2,4658
Launceston25/11/25,R3,27104
Launceston25/11/25,R4,2567
Launceston25/11/25,R5,1623
Launceston25/11/25,R6,8123
Launceston25/11/25,R7,8716
Launceston25/11/25,R8,7823
Launceston25/11/25,R9,1867
Launceston25/11/25,R10,6784
Horsham25/11/25,R1,2168
Horsham25/11/25,R2,8273
Horsham25/11/25,R3,7814
Horsham25/11/25,R4,3812
Horsham25/11/25,R5,1632
Horsham25/11/25,R6,7845
Horsham25/11/25,R7,2163
Horsham25/11/25,R8,6385
Horsham25/11/25,R9,3247
Horsham25/11/25,R10,2136
Horsham25/11/25,R11,1437
Horsham25/11/25,R12,7816
Ladbrokes Q1 Lakeside25/11/25,R1,2754
Ladbrokes Q1 Lakeside25/11/25,R2,6123
Ladbrokes Q1 Lakeside25/11/25,R3,1732
Ladbrokes Q1 Lakeside25/11/25,R4,6134
Ladbrokes Q1 Lakeside25/11/25,R5,4627
Ladbrokes Q1 Lakeside25/11/25,R6,1275
Ladbrokes Q1 Lakeside25/11/25,R7,1325
Ladbrokes Q1 Lakeside25/11/25,R8,2351
Ladbrokes Q1 Lakeside25/11/25,R9,8231
Ladbrokes Q1 Lakeside25/11/25,R10,3462
Ladbrokes Q1 Lakeside25/11/25,R11,1247
Ladbrokes Q1 Lakeside25/11/25,R12,3678
Ballarat25/11/25,R1,7836
Ballarat25/11/25,R2,2573
Ballarat25/11/25,R3,9124
Ballarat25/11/25,R4,4527
Ballarat25/11/25,R5,4287
Ballarat25/11/25,R6,1378
Ballarat25/11/25,R7,3274
Ballarat25/11/25,R8,1386
Ballarat25/11/25,R9,7426
Ballarat25/11/25,R10,75610
Ballarat25/11/25,R11,1823
Ballarat25/11/25,R12,8536
Angle Park25/11/25,R1,1548
Angle Park25/11/25,R2,1258
Angle Park25/11/25,R3,2845
Angle Park25/11/25,R4,1257
Angle Park25/11/25,R5,1574
Angle Park25/11/25,R6,4812
Angle Park25/11/25,R7,8215
Angle Park25/11/25,R8,4192
Angle Park25/11/25,R9,4158
Angle Park25/11/25,R10,7825
Warragul25/11/25,R1,2138
Warragul25/11/25,R2,8654
Warragul25/11/25,R3,1387
Warragul25/11/25,R4,6158
Warragul25/11/25,R5,6128
Warragul25/11/25,R6,2543
Warragul25/11/25,R7,37101
Warragul25/11/25,R8,2143
Warragul25/11/25,R9,3215
Warragul25/11/25,R10,8713
Warragul25/11/25,R11,4721
Warragul25/11/25,R12,4857
Bet Nation Townsville25/11/25,R1,3764
Bet Nation Townsville25/11/25,R2,1864
Bet Nation Townsville25/11/25,R3,5834
Bet Nation Townsville25/11/25,R4,6815
Bet Nation Townsville25/11/25,R5,4537
Bet Nation Townsville25/11/25,R6,1328
Bet Nation Townsville25/11/25,R7,8612
Bet Nation Townsville25/11/25,R8,6825
Bet Nation Townsville25/11/25,R9,7185
Bet Nation Townsville25/11/25,R10,4285
Bet Nation Townsville25/11/25,R11,2765
Bet Nation Townsville25/11/25,R12,7142
Mandurah25/11/25,R1,9841
Mandurah25/11/25,R2,8139
Mandurah25/11/25,R3,7186
Mandurah25/11/25,R4,1278
Mandurah25/11/25,R5,1682
Mandurah25/11/25,R6,5268
Mandurah25/11/25,R7,1834
Mandurah25/11/25,R8,5214
Mandurah25/11/25,R9,8436
Mandurah25/11/25,R10,1673
